batch,arm,cell,seed,game,bot,sharePar,src,K,size,turnCap,budgetMs,roster
env-batch,full,control11,11,env-batch|control11|11|smoke-control11-s11-r0.jsonl.gz,lobster-territory,2.0,derived,2,11,25,150,snake|snake|snake|snake
env-batch,full,control11,11,env-batch|control11|11|smoke-control11-s11-r0.jsonl.gz,reflex,0.0,derived,2,11,25,150,snake|snake|snake|snake
env-batch,full,control11,12,env-batch|control11|12|smoke-control11-s12-r0.jsonl.gz,lobster-territory,1.6363636363636365,derived,2,11,25,150,snake|snake|snake|snake
env-batch,full,control11,12,env-batch|control11|12|smoke-control11-s12-r0.jsonl.gz,reflex,0.36363636363636365,derived,2,11,25,150,snake|snake|snake|snake
env-batch,expiry,control11,11,env-batch|control11|11|smoke-control11-s11-r0.jsonl.gz,lobster-territory,2.0,derived,2,11,25,150,snake|snake|snake|snake
env-batch,expiry,control11,11,env-batch|control11|11|smoke-control11-s11-r0.jsonl.gz,reflex,0.0,derived,2,11,25,150,snake|snake|snake|snake
env-batch,expiry,control11,12,env-batch|control11|12|smoke-control11-s12-r0.jsonl.gz,lobster-territory,1.6363636363636365,derived,2,11,25,150,snake|snake|snake|snake
env-batch,expiry,control11,12,env-batch|control11|12|smoke-control11-s12-r0.jsonl.gz,reflex,0.36363636363636365,derived,2,11,25,150,snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95006,b1|pi-potion-hazard-snake6|95006|pi-potion-hazard-snake6-s95006-r2.jsonl.gz,parentDefault,1.6428571428571428,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95006,b1|pi-potion-hazard-snake6|95006|pi-potion-hazard-snake6-s95006-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95006,b1|pi-potion-hazard-snake6|95006|pi-potion-hazard-snake6-s95006-r2.jsonl.gz,potionIntel,1.3571428571428572,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r2.jsonl.gz,parentDefault,1.6363636363636365,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r2.jsonl.gz,reflex,0.2727272727272727,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r2.jsonl.gz,potionIntel,1.0909090909090908,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r0.jsonl.gz,potionIntel,0.35294117647058826,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r0.jsonl.gz,parentDefault,2.6470588235294117,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r2.jsonl.gz,parentDefault,0.7692307692307693,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r2.jsonl.gz,potionIntel,2.230769230769231,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95004,b1|pi-potion-hazard-snake6|95004|pi-potion-hazard-snake6-s95004-r0.jsonl.gz,potionIntel,2.106382978723404,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95004,b1|pi-potion-hazard-snake6|95004|pi-potion-hazard-snake6-s95004-r0.jsonl.gz,parentDefault,0.8936170212765957,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95004,b1|pi-potion-hazard-snake6|95004|pi-potion-hazard-snake6-s95004-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
